year,ci95
1880,0.13879495
1881,0.134320442
1882,0.137395995
1883,0.136249894
1884,0.14124899
1885,0.147067403
1886,0.150959251
1887,0.136045567
1888,0.125328443
1889,0.125897517
1890,0.123244119
1891,0.122831777
1892,0.125098844
1893,0.122855692
1894,0.125302649
1895,0.12578155
1896,0.120070526
1897,0.122144738
1898,0.124340606
1899,0.121364603
1900,0.113627142
1901,0.110020301
1902,0.112175237
1903,0.117630542
1904,0.114735627
1905,0.115250924
1906,0.113135393
1907,0.115919619
1908,0.113683382
1909,0.118781832
1910,0.106145867
1911,0.112624649
1912,0.110220434
1913,0.114265349
1914,0.113526484
1915,0.118952456
1916,0.123779826
1917,0.133495985
1918,0.121904471
1919,0.121791353
1920,0.112428147
1921,0.113041567
1922,0.109942269
1923,0.105604635
1924,0.110877093
1925,0.112214288
1926,0.109332737
1927,0.11192694
1928,0.115520581
1929,0.122291911
1930,0.114527962
1931,0.107822358
1932,0.11426012
1933,0.110085615
1934,0.109651572
1935,0.110276723
1936,0.11255605
1937,0.107287094
1938,0.114211681
1939,0.107266448
1940,0.106837676
1941,0.115460102
1942,0.105704823
1943,0.107068356
1944,0.10294104
1945,0.101956662
1946,0.08517536
1947,0.079088045
1948,0.079781094
1949,0.076579571
1950,0.065537063
1951,0.065377792
1952,0.067708578
1953,0.065934291
1954,0.064988475
1955,0.070285353
1956,0.073020037
1957,0.068761792
1958,0.065919841
1959,0.064545397
1960,0.065540283
1961,0.065473797
1962,0.067008064
1963,0.063094146
1964,0.059571774
1965,0.060300422
1966,0.062573536
1967,0.064552943
1968,0.062564867
1969,0.075168327
1970,0.058619716
1971,0.059298592
1972,0.062316326
1973,0.054744057
1974,0.050536581
1975,0.054742364
1976,0.051221276
1977,0.050638394
1978,0.048621061
1979,0.051495803
1980,0.0457044
1981,0.061216565
1982,0.052236643
1983,0.049181716
1984,0.044015649
1985,0.042785209
1986,0.044438171
1987,0.046356853
1988,0.045177664
1989,0.053770518
1990,0.053376212
1991,0.050009989
1992,0.044579052
1993,0.045275168
1994,0.047372204
1995,0.052285916
1996,0.040232837
1997,0.044942643
1998,0.044228497
1999,0.06042735
2000,0.049245507
2001,0.05006464
2002,0.05067107
2003,0.047386003
2004,0.045183646
2005,0.0495358
2006,0.051779635
2007,0.060356694
2008,0.053623506
2009,0.041645837
2010,0.048431958
2011,0.050031239
2012,0.047832061
2013,0.048508744
2014,0.047848808
2015,0.055854086
2016,0.053858329
2017,0.053858329
2018,0.053858329
2019,0.053858329
2020,0.053858329
2021,0.053858329
2022,0.053858329
