Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,287.3480000000,µg/m3,2020-01-01 01:00:00 +01:00,2020-01-01 02:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,28.8033000000,µg/m3,2020-01-01 02:00:00 +01:00,2020-01-01 03:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,25.4133000000,µg/m3,2020-01-01 03:00:00 +01:00,2020-01-01 04:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,22.8350000000,µg/m3,2020-01-01 04:00:00 +01:00,2020-01-01 05:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,19.0167000000,µg/m3,2020-01-01 05:00:00 +01:00,2020-01-01 06:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,14.5900000000,µg/m3,2020-01-01 06:00:00 +01:00,2020-01-01 07:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,15.8550000000,µg/m3,2020-01-01 07:00:00 +01:00,2020-01-01 08:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,15.3300000000,µg/m3,2020-01-01 08:00:00 +01:00,2020-01-01 09:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,14.8900000000,µg/m3,2020-01-01 09:00:00 +01:00,2020-01-01 10:00:00 +01:00,1,3
IS,IS.EA-Iceland.AQ,NET-IS009A,STA-IS0037A,IS0037A,SPO-IS0037A_00005_100,SPP-IS_A_BETA_thermo5030SHARP_dal,SPO_F-IS0037A_00005_100_100,PM10,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/5,hour,15.6333000000,µg/m3,2020-01-01 10:00:00 +01:00,2020-01-01 11:00:00 +01:00,1,3
