locationId,location,parameter,value,dateUtc,dateLocal,unit,latitude,longitude,country,city,isMobile,isAnalysis,entity,sensorType
10696,"Grundartangi Kríuvarða","pm10",4.77367,"2023-12-18T00:00:00+00:00","2023-12-18T00:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","so2",1.94667,"2023-12-18T00:00:00+00:00","2023-12-18T00:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no2",2.38433,"2023-12-18T00:00:00+00:00","2023-12-18T00:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no",0.605167,"2023-12-18T00:00:00+00:00","2023-12-18T00:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm25",3.5315,"2023-12-18T00:00:00+00:00","2023-12-18T00:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm25",3.07533,"2023-12-17T23:00:00+00:00","2023-12-17T23:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm10",4.92517,"2023-12-17T23:00:00+00:00","2023-12-17T23:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no",0.873834,"2023-12-17T23:00:00+00:00","2023-12-17T23:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","so2",7.13033,"2023-12-17T23:00:00+00:00","2023-12-17T23:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no2",3.6325,"2023-12-17T23:00:00+00:00","2023-12-17T23:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no2",5.84483,"2023-12-17T22:00:00+00:00","2023-12-17T22:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm10",5.607,"2023-12-17T22:00:00+00:00","2023-12-17T22:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm25",3.07784,"2023-12-17T22:00:00+00:00","2023-12-17T22:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no",1.142,"2023-12-17T22:00:00+00:00","2023-12-17T22:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","so2",28.4803,"2023-12-17T22:00:00+00:00","2023-12-17T22:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm25",2.80233,"2023-12-17T21:00:00+00:00","2023-12-17T21:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","so2",1.63217,"2023-12-17T21:00:00+00:00","2023-12-17T21:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm10",5.58801,"2023-12-17T21:00:00+00:00","2023-12-17T21:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no",0.605833,"2023-12-17T21:00:00+00:00","2023-12-17T21:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no2",2.48717,"2023-12-17T21:00:00+00:00","2023-12-17T21:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm10",5.191,"2023-12-17T20:00:00+00:00","2023-12-17T20:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm25",2.8935,"2023-12-17T20:00:00+00:00","2023-12-17T20:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no",1.46817,"2023-12-17T20:00:00+00:00","2023-12-17T20:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no2",6.65533,"2023-12-17T20:00:00+00:00","2023-12-17T20:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","so2",29.7798,"2023-12-17T20:00:00+00:00","2023-12-17T20:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no",1.69483,"2023-12-17T19:00:00+00:00","2023-12-17T19:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm25",3.5835,"2023-12-17T19:00:00+00:00","2023-12-17T19:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no2",8.79083,"2023-12-17T19:00:00+00:00","2023-12-17T19:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","so2",45.91,"2023-12-17T19:00:00+00:00","2023-12-17T19:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm10",5.306,"2023-12-17T19:00:00+00:00","2023-12-17T19:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no",1.87467,"2023-12-17T18:00:00+00:00","2023-12-17T18:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm10",5.60883,"2023-12-17T18:00:00+00:00","2023-12-17T18:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no2",8.31866,"2023-12-17T18:00:00+00:00","2023-12-17T18:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm25",4.63983,"2023-12-17T18:00:00+00:00","2023-12-17T18:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","so2",39.2672,"2023-12-17T18:00:00+00:00","2023-12-17T18:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no2",3.85333,"2023-12-17T17:00:00+00:00","2023-12-17T17:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm25",5.1185,"2023-12-17T17:00:00+00:00","2023-12-17T17:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no",0.758833,"2023-12-17T17:00:00+00:00","2023-12-17T17:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm10",4.48734,"2023-12-17T17:00:00+00:00","2023-12-17T17:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","so2",3.4045,"2023-12-17T17:00:00+00:00","2023-12-17T17:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm25",5.55283,"2023-12-17T16:00:00+00:00","2023-12-17T16:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no",0.786334,"2023-12-17T16:00:00+00:00","2023-12-17T16:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no2",3.851,"2023-12-17T16:00:00+00:00","2023-12-17T16:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","so2",6.42433,"2023-12-17T16:00:00+00:00","2023-12-17T16:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm10",4.53767,"2023-12-17T16:00:00+00:00","2023-12-17T16:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","so2",20.53,"2023-12-17T14:00:00+00:00","2023-12-17T14:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm25",7.20483,"2023-12-17T14:00:00+00:00","2023-12-17T14:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no2",6.89217,"2023-12-17T14:00:00+00:00","2023-12-17T14:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm10",5.7395,"2023-12-17T14:00:00+00:00","2023-12-17T14:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no",1.35817,"2023-12-17T14:00:00+00:00","2023-12-17T14:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no2",4.52666,"2023-12-17T13:00:00+00:00","2023-12-17T13:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no",1.00317,"2023-12-17T13:00:00+00:00","2023-12-17T13:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm25",5.95783,"2023-12-17T13:00:00+00:00","2023-12-17T13:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm10",5.31267,"2023-12-17T13:00:00+00:00","2023-12-17T13:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","so2",6.40417,"2023-12-17T13:00:00+00:00","2023-12-17T13:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no2",2.48017,"2023-12-17T12:00:00+00:00","2023-12-17T12:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","no",0.565667,"2023-12-17T12:00:00+00:00","2023-12-17T12:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","pm10",5.04234,"2023-12-17T12:00:00+00:00","2023-12-17T12:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
10696,"Grundartangi Kríuvarða","so2",0.716833,"2023-12-17T12:00:00+00:00","2023-12-17T12:00:00+00:00","µg/m³",64.373583,-21.759139,"IS","",false,"","Governmental Organization","reference grade"
