,Maize (100g/ha),Millet (100g/ha),Temp. Anom. (°C),Prec.Anom. (mm),CO2 (ppm),Manure (Mt),Nitrogen (tons),Phosphate (tons),Potash (tons)
1961-12-31,19423,5925,0.211,15.318908275,317.64,18350915217.1171,11486265.27,10888968.81,8626724.57
1962-12-31,19796,5619,0.038,0.768900418,318.45,18729177043.255,12969831.11,11534554.43,9146891.38
1963-12-31,20311,5717,0.168,-3.9811021469999996,318.99,18993874440.8998,14632762.48,12833399.67,9917337.39
1964-12-31,19937,6295,-0.246,-1.0611005702,319.62,18904404564.8041,16388549.43,14452883.19,10881677.96
1965-12-31,21237,5358,-0.223,-27.0911146264,320.04,19330879894.3617,18891558.2,15672896.33,11965926.7
1966-12-31,22078,6244,0.201,3.6289019623999996,321.37,19855027592.1976,21969621.93,17266538.3,12583006.96
1967-12-31,24236,6592,-0.117,-2.4611013261999997,322.18,20356635253.7251,23982068.37,18079402.64,13872951.2
1968-12-31,22894,6198,-0.126,1.268900688,323.05,20503189948.5604,26196714.73,18959887.64,14489617.48
1969-12-31,24206,6703,-0.092,-2.4411013154,324.62,20506836599.5298,28320572.27,19834454.31,15157797.5
1970-12-31,23509,7375,0.15,-1.7911009643999998,325.68,20640575478.4542,31570006.79,21044766.19,16375958.17
1971-12-31,26534,6835,-0.093,0.818900445,326.32,21328586945.1872,33583031.15,22423200.18,17315729.69
1972-12-31,26867,5861,-0.199,-19.6211105926,327.46,21814999323.5274,36075892.12,23938908.78,18434751.67
1973-12-31,27217,6977,0.269,34.148918443199996,329.68,22165835879.6174,38955988.99,25872875.02,20253714.87
1974-12-31,25565,6554,-0.181,29.998916202199997,330.19,22646433463.0948,38585837.29,24196526.11,19762981.71
1975-12-31,28132,6646,0.088,24.7589133726,331.13,22905755100.397,43879139.05,25368337.94,21102928.65
1976-12-31,28371,6835,-0.314,-3.1511016988,332.03,22900421093.304,45188699.52,27262329.77,22609511.56
1977-12-31,29668,6597,0.269,14.5389078538,333.84,23137687220.8439,49273261.21,28834007.47,23058729.28
1978-12-31,31556,7281,0.001,18.0089097276,335.41,23525662626.0225,54029045.87,29975157.05,24204534.57
1979-12-31,33847,6512,0.226,1.0289005584,336.84,23983223998.65,57018876.52,31317442.93,24069559.99
1980-12-31,31534,6477,0.332,-7.561104080199999,338.76,24341772576.2862,60630631.09,31762118.9,24217722.4
1981-12-31,34933,7212,0.443,10.068905439999998,340.12,24422213405.4536,60738835.37,31247284.82,23990921.56
1982-12-31,36090,7344,0.086,-3.6911019903999995,341.48,24626623623.4747,61728514.73,31338340.03,23142977.13
1983-12-31,29452,8265,0.46,-7.5911040964,343.15,24816873864.7714,66529174.97,32905883.91,25059288.65
1984-12-31,35256,7583,0.127,9.6789052294,344.87,25193933598.33,70716375.96,34536603.81,26047707.26
