pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
1013.0,   32, 18.6, 16.0, 16.0, 85, 85,11.35,  0, 0.0
1002.0,  127, 22.4, 15.4, 15.4, 65, 65,11.04,355, 5.2
1000.0,  144, 22.2, 16.2, 16.2, 69, 69,11.65,355, 5.2
 982.0,  302, 21.7, 13.6, 13.6, 60, 60, 9.99, 15, 8.8
 966.0,  444, 21.2, 11.2, 11.2, 53, 53, 8.67,  7, 7.7
 952.0,  570, 20.3, 10.7, 10.7, 54, 54, 8.49,  0, 6.7
 925.0,  818, 18.6,  9.6,  9.6, 56, 56, 8.13,  0, 8.2
 885.0, 1194, 15.9,  7.9,  7.9, 59, 59, 7.59,  5, 7.2
 870.0, 1339, 14.8,  7.3,  7.3, 61, 61, 7.38,350, 5.2
 850.0, 1537, 13.4,  6.4,  6.4, 63, 63, 7.11,  0, 3.6
 825.0, 1784, 11.3,  5.4,  5.4, 67, 67, 6.84,320, 1.5
 731.0, 2784,  2.6,  1.4,  1.4, 92, 92, 5.80,359, 3.5
 728.0, 2817,  2.4,  1.0,  1.0, 90, 90, 5.67,  0, 3.6
 708.0, 3042,  1.4, -1.5, -1.3, 81, 81, 4.85,  0, 7.6
 706.0, 3065,  2.0, -7.0, -6.2, 51, 51, 3.20,  0, 8.0
 704.0, 3088,  2.0, -6.0, -5.3, 55, 55, 3.47,  0, 8.4
 700.0, 3134,  2.6,-19.4,-17.4, 18, 18, 1.18,  0, 9.3
 695.0, 3192,  3.2,-38.8,-35.4,  3,  3, 0.19,  1,10.3
 682.0, 3344,  2.7,-37.1,-33.7,  3,  3, 0.23,  5,12.9
 667.0, 3522,  2.0,-35.0,-31.8,  4,  4, 0.29,355,10.8
 654.0, 3680,  1.5,-33.2,-30.1,  6,  6, 0.36,340,12.4
 594.0, 4453, -1.3,-24.3,-21.9, 15, 16, 0.90,318,12.4
 573.0, 4735, -3.5,-24.0,-21.6, 19, 19, 0.96,310,12.4
 500.0, 5800,-11.7,-22.7,-20.4, 40, 44, 1.24,315,19.0
 400.0, 7460,-24.9,-28.1,-25.4, 75, 95, 0.95,325,20.6
 393.0, 7587,-26.0,-28.7,-25.9, 78,100, 0.91,325,20.1
 363.0, 8159,-30.9,-31.4,-28.5, 95,129, 0.77,329,23.7
 344.0, 8540,-32.7,-38.7,-35.3, 55, 76, 0.39,332,26.2
 302.0, 9445,-39.9,-47.9,-44.0, 42, 63, 0.17,340,32.1
 300.0, 9490,-40.1,-48.1,-44.2, 42, 63, 0.16,340,32.4
 276.0,10050,-45.5,-49.1,-45.1, 67,105, 0.16,345,35.3
 250.0,10700,-50.5,-55.1,-50.9, 58, 95, 0.09,350,38.6
 243.0,10884,-52.1,-56.5,-52.2, 59, 99, 0.08,350,39.6
 238.0,11019,-53.3,-57.5,-53.2, 60,101, 0.07,349,40.8
 217.0,11607,-57.4,-62.3,-57.8, 55, 95, 0.04,345,45.8
 211.0,11785,-58.7,-63.7,-59.2, 53, 93, 0.04,343,43.9
 200.0,12120,-61.3,-66.1,-61.6, 53, 97, 0.03,340,40.2
 197.0,12213,-61.1,-64.8,-60.3, 62,112, 0.03,336,40.0
 194.0,12308,-61.7,-67.7,-63.1, 45, 82, 0.02,333,39.9
